symbol,date,open,high,low,close,volume
BTCUSDT,2025-10-22,108297.66,109163.88,106708.18,107678.25,24868.49903
ETHUSDT,2025-10-22,3873.04,3889.27,3770.02,3779.91,512258.7705
BNBUSDT,2025-10-22,1057.16,1083.8,1053.57,1066.78,345928.47
BCCUSDT,2018-11-20,448.7,448.7,448.7,448.7,0.0
NEOUSDT,2025-10-22,5.085,5.168,4.977,4.991,789100.62
LTCUSDT,2025-10-22,92.45,94.97,90.93,93.19,475994.361
QTUMUSDT,2025-10-22,1.954,1.986,1.912,1.918,447428.1
ADAUSDT,2025-10-22,0.6428,0.6468,0.6221,0.6247,119983208.1
XRPUSDT,2025-10-22,2.4221,2.4375,2.355,2.3664,109103819.3
EOSUSDT,2025-05-26,0.766,0.7996,0.753,0.7799,2070665.9
TUSDUSDT,2025-10-22,0.9965,0.997,0.9964,0.9965,291787.0
IOTAUSDT,2025-10-22,0.1425,0.1447,0.1386,0.1393,11790883.0
XLMUSDT,2025-10-22,0.3141,0.3153,0.3069,0.3088,39854047.0
ONTUSDT,2025-10-22,0.0921,0.0942,0.0899,0.0906,6707925.0
TRXUSDT,2025-10-22,0.3216,0.3251,0.3175,0.3205,409636690.4
ETCUSDT,2025-10-22,15.69,15.79,15.25,15.42,514875.4
ICXUSDT,2025-10-22,0.0888,0.0896,0.086,0.0865,6478978.8
VENUSDT,2018-10-19,0.0001,0.0001,0.0001,0.0001,1224.0
NULSUSDT,2025-04-16,0.0253,0.0287,0.0227,0.0258,2419134.0
VETUSDT,2025-10-22,0.01719,0.01735,0.01673,0.01691,234554160.7
PAXUSDT,2021-09-06,0.9996,0.9996,0.9995,0.9996,979732.69
BCHABCUSDT,2019-11-28,219.2,221.72,218.94,220.08,4556.6373
BCHSVUSDT,2019-04-22,56.1,59.46,55.0,58.9,16876.02692
USDCUSDT,2025-10-22,0.9995,1.0,0.9993,0.9999,2748296591.0
LINKUSDT,2025-10-22,17.6,17.84,17.1,17.16,3727316.94
WAVESUSDT,2024-06-17,1.034,1.082,0.951,1.076,854905.34
BTTUSDT,2022-01-17,0.002677,0.002795,0.00266,0.002777,3702123193.0
USDSUSDT,2020-06-24,0.998,0.998,0.9963,0.9968,3817.02
ONGUSDT,2025-10-22,0.1163,0.1177,0.1115,0.1117,8218677.0
HOTUSDT,2025-10-22,0.000646,0.000675,0.000641,0.000647,1279899951.0
ZILUSDT,2025-10-22,0.00787,0.00798,0.00766,0.00768,171564680.1
ZRXUSDT,2025-10-22,0.1988,0.202,0.1943,0.1949,8889885.0
FETUSDT,2025-10-22,0.2439,0.2491,0.2333,0.2353,77454835.7
BATUSDT,2025-10-22,0.1749,0.1811,0.1708,0.174,13601390.0
